TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
544452,2/20/2019,22429,Enamel Measuring Jug Cream,14.61,2,14162.0,United Kingdom
565800,09/07/2019,84926A,Wake Up Cockerel Tile Coaster,10.55,24,14911.0,EIRE
545188,2/28/2019,22522,Childs Garden Fork Blue,11.12,2,14056.0,United Kingdom
579508,11/29/2019,23341,Pink Diner Wall Clock,6.13,1,12508.0,United Kingdom
568539,9/27/2019,22924,Fridge Magnets La Vie En Rose,11.12,24,13016.0,United Kingdom
543300,02/07/2019,21918,Set 12 Kids Colour Chalk Sticks,10.68,6,13334.0,United Kingdom
576570,11/15/2019,23082,Set 6 Paper Table Lantern Hearts,14.09,3,17220.0,United Kingdom
559338,07/07/2019,21992,Vintage Paisley Stationery Set,12.77,4,13338.0,United Kingdom
540468,01/07/2019,84978,Hanging Heart Jar T-Light Holder,12.82,2,12468.0,Germany
555872,06/07/2019,20886,Box Of 9 Pebble Candles,12.25,6,13395.0,United Kingdom
581193,12/07/2019,23203,Jumbo Bag Vintage Doily,6.19,1,17097.0,Spain
557070,6/16/2019,22844,Vintage Cream Dog Food Container,18.96,2,14755.0,United Kingdom
571940,10/20/2019,23228,Filigree Heart Bird White,11.53,24,15301.0,United Kingdom
579777,11/30/2019,20685,Doormat Red Retrospot,6.19,1,13777.0,United Kingdom
575063,11/08/2019,22662,Lunch Bag Dolly Girl Design,5.97,1,16764.0,United Kingdom
563848,8/19/2019,22750,Feltcraft Princess Lola Doll,14.09,4,14911.0,EIRE
550496,4/18/2019,22681,French Blue Metal Door Sign 6,11.53,10,13496.0,United Kingdom
574328,11/04/2019,21989,Pack Of 20 Skull Paper Napkins,11.12,24,13081.0,United Kingdom
540995,1/13/2019,22412,Metal Sign Neighbourhood Witch,14.48,1,16995.0,United Kingdom
568369,9/26/2019,22720,Set Of 3 Cake Tins Pantry Design,15.32,1,16710.0,United Kingdom
542350,1/27/2019,20985,Heart Calculator,11.53,12,16949.0,United Kingdom
564758,8/30/2019,90197B,Black Glass Bracelet W Heart Charms,15.35,2,15758.0,United Kingdom
549169,04/06/2019,85027L,French Chateau Large Platter,12.25,4,17906.0,United Kingdom
556883,6/15/2019,20794,Blue Tile Hook,12.86,8,13343.0,United Kingdom
549953,4/13/2019,22059,Ceramic Strawberry Design Mug,11.78,12,12766.0,Portugal
567183,9/18/2019,23296,Set Of 6 Tea Time Baking Cases,11.53,2,14769.0,United Kingdom
555275,06/01/2019,20961,Strawberry Bath Sponge,12.77,1,13275.0,United Kingdom
564757,8/30/2019,84923,Pink Butterfly Handbag W Bobbles,14.48,1,12757.0,Portugal
560018,7/14/2019,22091,Empire Tissue Box,10.65,1,15987.0,United Kingdom
553540,5/17/2019,21888,Bingo Set,14.09,4,17511.0,United Kingdom
568062,9/23/2019,85032C,Curious Images Gift Wrap Set,10.92,12,14014.0,United Kingdom
579471,11/29/2019,22386,Jumbo Bag Pink Polkadot,5.97,7,16471.0,United Kingdom
552229,05/06/2019,23200,Jumbo Bag Pears,6.19,10,15229.0,United Kingdom
581352,12/08/2019,22481,Black Tea Towel Classic Design,6.19,2,14698.0,United Kingdom
565434,09/04/2019,23239,Set Of 4 Knick Knack Tins Poppies,14.5,6,12867.0,United Kingdom
575741,11/11/2019,22367,Childrens Apron Spaceboy Design,12.25,8,13727.0,United Kingdom
566008,09/08/2019,20617,First Class Passport Cover,12.4,2,16426.0,United Kingdom
580094,12/01/2019,22952,60 Cake Cases Vintage Christmas,6.19,1,15904.0,United Kingdom
565767,09/06/2019,20728,Lunch Bag Cars Blue,7.67,15,13767.0,United Kingdom
572513,10/24/2019,22467,Gumball Coat Rack,12.86,2,16728.0,United Kingdom
562964,08/11/2019,22569,Feltcraft Cushion Butterfly,14.09,4,13488.0,United Kingdom
553707,5/18/2019,22784,Lantern Cream Gazebo,14.61,12,16843.0,United Kingdom
574965,11/08/2019,23344,Jumbo Bag 50'S Christmas,6.19,1,17964.0,United Kingdom
576840,11/16/2019,22664,Toy Tidy Dolly Girl Design,14.48,1,14840.0,United Kingdom
581471,12/08/2019,84946,Antique Silver T-Light Glass,6.19,6,14702.0,United Kingdom
542601,1/30/2019,72760B,Vintage Cream 3 Basket Cake Stand,20.45,1,16897.0,United Kingdom
541286,1/17/2019,22508,Doorstop Retrospot Heart,14.09,3,13982.0,United Kingdom
574700,11/06/2019,22187,Green Christmas Tree Card Holder,12.25,3,16033.0,United Kingdom
554116,5/22/2019,21714,Citronella Candle Garden Pot,11.53,6,14514.0,United Kingdom
578344,11/24/2019,90013B,Black Vintage Earrings,6.19,1,15344.0,United Kingdom
C554333,5/23/2019,84945,Multi Colour Silver T-Light Holder,11.12,-2,13310.0,United Kingdom
559538,07/10/2019,20685,Doormat Red Retrospot,18.4,2,16880.0,United Kingdom
577733,11/21/2019,22469,Heart Of Wicker Small,11.94,8,15163.0,United Kingdom
549522,04/08/2019,22560,Traditional Modelling Clay,11.53,24,16873.0,United Kingdom
575216,11/09/2019,23208,Lunch Bag Vintage Leaf Design,5.97,20,13384.0,United Kingdom
554134,5/23/2019,22492,Mini Paint Set Vintage,10.92,36,12583.0,France
574920,11/07/2019,22386,Jumbo Bag Pink Polkadot,6.19,10,13985.0,United Kingdom
566577,9/13/2019,22144,Christmas Craft Little Friends,14.48,1,14577.0,United Kingdom
568721,9/28/2019,85099B,Jumbo Bag Red Retrospot,7.24,1,17721.0,United Kingdom
575956,11/13/2019,23343,Jumbo Bag Vintage Christmas,6.19,3,14487.0,United Kingdom
540351,01/06/2019,22645,Ceramic Heart Fairy Cake Money Bank,11.74,12,12735.0,France
552472,05/09/2019,21718,Red Metal Beach Spade,11.53,12,16503.0,United Kingdom
547964,3/28/2019,22894,Tablecloth Red Apples Design,31.56,1,14964.0,United Kingdom
575930,11/11/2019,22273,Feltcraft Doll Molly,16.18,1,14930.0,United Kingdom
578508,11/24/2019,85227,Set Of 6 3d Kit Cards For Kids,6.19,4,16892.0,United Kingdom
556784,6/14/2019,84969,Box Of 6 Assorted Colour Teaspoons,14.61,6,14461.0,United Kingdom
552828,05/11/2019,23209,Lunch Bag Vintage Doily,5.97,10,13662.0,United Kingdom
578115,11/23/2019,20992,Jazz Hearts Purse Notebook,7.24,48,16600.0,United Kingdom
569372,10/03/2019,46776B,Woven Berries Cushion Cover,14.48,1,15372.0,United Kingdom
580958,12/06/2019,22335,Heart Decoration Painted Zinc,6.19,7,17266.0,United Kingdom
557886,6/23/2019,22436,12 Coloured Party Balloons,10.92,3,17799.0,United Kingdom
552624,05/10/2019,21877,Home Sweet Home Mug,11.53,2,14505.0,United Kingdom
C542092,1/25/2019,20723,Strawberry Charlotte Bag,10.99,-2,14389.0,United Kingdom
564532,8/25/2019,21136,Painted Metal Pears Assorted,11.98,8,14055.0,United Kingdom
549633,04/11/2019,21166,Cook With Wine Metal Sign,12.38,12,15671.0,United Kingdom
556195,06/09/2019,23208,Lunch Bag Vintage Leaf Design,5.97,10,16745.0,United Kingdom
569331,10/03/2019,23506,Mini Playing Cards Spaceboy,10.68,20,16875.0,United Kingdom
578344,11/24/2019,22753,Small Yellow Babushka Notebook,7.24,4,15344.0,United Kingdom
553919,5/20/2019,46118,Funky Monkey Cushion Cover,11.12,12,17416.0,United Kingdom
574328,11/04/2019,21121,Set/10 Red Polkadot Party Candles,11.53,24,13081.0,United Kingdom
545056,2/27/2019,22355,Charlotte Bag Suki Design,10.99,100,16745.0,United Kingdom
553423,5/17/2019,22844,Vintage Cream Dog Food Container,18.96,2,17811.0,United Kingdom
573364,10/30/2019,23084,Rabbit Night Light,12.38,1,14710.0,United Kingdom
553048,5/13/2019,22617,Baking Set Spaceboy Design,15.32,3,14291.0,United Kingdom
565863,09/07/2019,22269,Egg Cup Natural Chicken,10.65,32,17422.0,United Kingdom
581439,12/08/2019,23366,Set 12 Colouring Pencils Doily,7.24,4,15439.0,United Kingdom
558738,07/01/2019,21194,Pink Honeycomb Paper Fan,10.92,24,12922.0,United Kingdom
560691,7/20/2019,23119,Pack Of 6 Large Fruit Straws,10.89,24,13136.0,United Kingdom
562264,08/03/2019,22716,Card Circus Parade,11.1,2,13264.0,United Kingdom
541969,1/24/2019,22666,Recipe Box Pantry Yellow Design,16.18,1,17969.0,United Kingdom
580538,12/05/2019,22467,Gumball Coat Rack,6.19,6,14075.0,United Kingdom
571082,10/13/2019,22107,Pizza Plate In Box,13.62,3,14082.0,United Kingdom
541987,1/24/2019,20658,Red Retrospot Luggage Tag,11.53,2,14130.0,United Kingdom
549902,04/12/2019,22427,Enamel Flower Jug Cream,16.35,6,14006.0,United Kingdom
548745,04/04/2019,22913,Red Coat Rack Paris Fashion,15.32,3,12471.0,Germany
550437,4/18/2019,21206,Strawberry Honeycomb Garland,11.94,1,16923.0,United Kingdom
576915,11/17/2019,23166,Medium Ceramic Top Storage Jar,11.53,6,17461.0,United Kingdom
558571,6/30/2019,22562,Monsters Stencil Craft,11.53,12,17017.0,United Kingdom
